,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
23,"2,330.0000",123.0000,"1,935.0000","2,330.0000",135.0000,"2,116.0000","2,330.0000",134.0000,"2,107.0000","2,330.0000",148.0000,"2,325.0000","2,330.0000",155.0000,"2,443.0000","2,330.0000",155.0000,"2,443.0000","2,330.0000",336.0000,"4,352.0000","2,330.0000",681.0000,"6,860.0000","2,330.0000",731.0000,"7,286.0000","2,330.0000",781.0000,"7,711.0000","2,330.0000",838.0000,"8,189.0000",0.0634,0.0634
24,"2,330.0000",133.0000,"2,040.0000","2,330.0000",145.0000,"2,231.0000","2,330.0000",144.0000,"2,221.0000","2,330.0000",159.0000,"2,451.0000","2,330.0000",168.0000,"2,576.0000","2,330.0000",168.0000,"2,576.0000","2,330.0000",357.0000,"4,477.0000","2,330.0000",704.0000,"7,099.0000","2,330.0000",756.0000,"7,539.0000","2,330.0000",807.0000,"7,979.0000","2,330.0000",866.0000,"8,474.0000",0.0652,0.0652
25,"2,330.0000",141.0000,"2,154.0000","2,330.0000",154.0000,"2,355.0000","2,330.0000",153.0000,"2,344.0000","2,330.0000",169.0000,"2,587.0000","2,330.0000",178.0000,"2,719.0000","2,330.0000",178.0000,"2,719.0000","2,330.0000",394.0000,"4,612.0000","2,330.0000",734.0000,"7,325.0000","2,330.0000",788.0000,"7,779.0000","2,330.0000",842.0000,"8,233.0000","2,330.0000",904.0000,"8,744.0000",0.0655,0.0655
26,"2,330.0000",154.0000,"2,291.0000","2,330.0000",169.0000,"2,505.0000","2,330.0000",168.0000,"2,494.0000","2,330.0000",186.0000,"2,752.0000","2,330.0000",196.0000,"2,892.0000","2,330.0000",196.0000,"2,892.0000","2,330.0000",410.0000,"4,753.0000","2,330.0000",742.0000,"7,546.0000","2,330.0000",797.0000,"8,013.0000","2,330.0000",851.0000,"8,481.0000","2,330.0000",913.0000,"9,007.0000",0.0678,0.0678
27,"2,340.0000",162.0000,"2,400.0000","2,340.0000",178.0000,"2,624.0000","2,340.0000",177.0000,"2,613.0000","2,340.0000",195.0000,"2,883.0000","2,340.0000",206.0000,"3,030.0000","2,340.0000",206.0000,"3,030.0000","2,340.0000",428.0000,"4,924.0000","2,340.0000",789.0000,"7,809.0000","2,340.0000",847.0000,"8,293.0000","2,340.0000",906.0000,"8,777.0000","2,340.0000",971.0000,"9,321.0000",0.0680,0.0680
28,"2,330.0000",175.0000,"2,483.0000","2,330.0000",191.0000,"2,714.0000","2,330.0000",191.0000,"2,703.0000","2,330.0000",211.0000,"2,982.0000","2,330.0000",222.0000,"3,134.0000","2,330.0000",222.0000,"3,134.0000","2,330.0000",470.0000,"5,046.0000","2,330.0000",794.0000,"7,994.0000","2,330.0000",853.0000,"8,489.0000","2,330.0000",912.0000,"8,985.0000","2,330.0000",979.0000,"9,542.0000",0.0708,0.0708
29,"2,330.0000",178.0000,"2,581.0000","2,330.0000",195.0000,"2,821.0000","2,330.0000",194.0000,"2,809.0000","2,330.0000",214.0000,"3,100.0000","2,330.0000",226.0000,"3,258.0000","2,330.0000",226.0000,"3,258.0000","2,330.0000",488.0000,"5,192.0000","2,330.0000",807.0000,"8,175.0000","2,330.0000",868.0000,"8,681.0000","2,330.0000",930.0000,"9,188.0000","2,330.0000",999.0000,"9,757.0000",0.0694,0.0694
30,"2,330.0000",192.0000,"2,705.0000","2,330.0000",211.0000,"2,957.0000","2,330.0000",210.0000,"2,944.0000","2,330.0000",233.0000,"3,249.0000","2,330.0000",245.0000,"3,414.0000","2,330.0000",245.0000,"3,414.0000","2,330.0000",516.0000,"5,356.0000","2,330.0000",813.0000,"8,343.0000","2,330.0000",874.0000,"8,860.0000","2,330.0000",935.0000,"9,378.0000","2,330.0000","1,004.0000","9,959.0000",0.0718,0.0718
31,"2,330.0000",199.0000,"2,858.0000","2,330.0000",219.0000,"3,125.0000","2,330.0000",218.0000,"3,111.0000","2,330.0000",242.0000,"3,433.0000","2,330.0000",256.0000,"3,608.0000","2,330.0000",256.0000,"3,608.0000","2,330.0000",514.0000,"5,501.0000","2,330.0000",848.0000,"8,504.0000","2,330.0000",911.0000,"9,031.0000","2,330.0000",975.0000,"9,558.0000","2,330.0000","1,047.0000","10,151.0000",0.0710,0.0710
32,"2,330.0000",225.0000,"3,031.0000","2,330.0000",247.0000,"3,314.0000","2,330.0000",246.0000,"3,300.0000","2,330.0000",274.0000,"3,641.0000","2,330.0000",290.0000,"3,827.0000","2,330.0000",290.0000,"3,827.0000","2,330.0000",516.0000,"5,634.0000","2,330.0000",885.0000,"8,676.0000","2,330.0000",950.0000,"9,214.0000","2,330.0000","1,015.0000","9,752.0000","2,330.0000","1,089.0000","10,356.0000",0.0758,0.0758
33,"2,330.0000",236.0000,"3,207.0000","2,330.0000",260.0000,"3,506.0000","2,330.0000",259.0000,"3,490.0000","2,330.0000",290.0000,"3,852.0000","2,330.0000",310.0000,"4,048.0000","2,330.0000",310.0000,"4,048.0000","2,330.0000",537.0000,"5,769.0000","2,330.0000",892.0000,"8,876.0000","2,330.0000",958.0000,"9,426.0000","2,330.0000","1,023.0000","9,976.0000","2,330.0000","1,098.0000","10,595.0000",0.0766,0.0766
34,"2,330.0000",243.0000,"3,243.0000","2,330.0000",268.0000,"3,545.0000","2,330.0000",267.0000,"3,530.0000","2,330.0000",300.0000,"3,895.0000","2,330.0000",321.0000,"4,094.0000","2,330.0000",321.0000,"4,094.0000","2,330.0000",561.0000,"5,905.0000","2,330.0000",922.0000,"9,075.0000","2,330.0000",990.0000,"9,638.0000","2,330.0000","1,058.0000","10,200.0000","2,330.0000","1,135.0000","10,832.0000",0.0784,0.0784
35,"2,330.0000",247.0000,"3,265.0000","2,330.0000",273.0000,"3,569.0000","2,330.0000",271.0000,"3,554.0000","2,330.0000",306.0000,"3,922.0000","2,330.0000",327.0000,"4,122.0000","2,330.0000",327.0000,"4,122.0000","2,330.0000",564.0000,"6,035.0000","2,330.0000",953.0000,"9,285.0000","2,330.0000","1,022.0000","9,860.0000","2,330.0000","1,092.0000","10,436.0000","2,330.0000","1,170.0000","11,083.0000",0.0793,0.0793
